Fondant au chocolat,"Ingrédients : oeuf, farine, beurre, chocolat, sucre. Faire fondre le chocolat et le beurre au bain marie à feu doux, ou au micro ondes sur le programm", 15 min,false,5
Mousse au chocolat facile,"Ingrédients : oeuf, sucre vanillé, chocolat. Faire ramollir le chocolat dans une terrine. Incorporer les jaunes et le sucre. Puis, battre les blancs e", 10 min,false,5
Cake au chocolat,"Ingrédients : Poudre d'amande, oeuf, levure, sucre en poudre, farine, beurre, chocolat pâtissier. Faire fondre le chocolat (en morceaux) au bain-marie", 15 min,false,5
Truffes au chocolat,"Ingrédients : oeuf, chocolat noir, sucre vanillé, beurre, cacao, sucre glace. Casser le chocolat en petits morceaux dans un plat résistant à la chaleu", 30 min,false,5
Moelleux au chocolat,"Ingrédients : oeuf, farine, beurre, chocolat, sucre glace. faire fondre le chocolat. Ajouter le beurre en morceaux peu à peu et l'incorporer pour obte", 15 min,false,5
Chocolat Liégeois, de chocolat dessert à 64% cacao Carrefour - 1/2 sachet de sucre vanillé - 1 petite cuillère à soupe de crème fraiche à 30% de matières grasses Carref, 1 h 10 min,false,0
Chocolat des neiges,"Ingrédients : lait, boudoir, chocolat noir, beurre, noix de coco, sucre. Le lait, le beurre, le sucre à mélanger et faire chauffer. Ajouter le chocola", 10 min,false,5
Cookies tout chocolat,"Ingrédients : oeuf, levure, farine, cassonade, sucre vanillé, beurre, cacao, sel, chocolat. Incorporer le sucre roux au beurre travaillé en pommade (b", 10 min,false,5
Pavé au chocolat,"Ingrédients : oeuf, farine, beurre, chocolat, sucre. Dans une casserole, faites fondre le chocolat et le beurre en morceaux. Mélangez le sucre et les ", 10 min,false,5
Charlotte au chocolat,"Ingrédients : biscuits à la cuillère, oeuf, lait, beurre, crème fraîche liquide, rhum, chocolat pâtissier, sucre glace. Beurrer légèrement un moule à ", 45 min,false,5
Ramequins fondants au chocolat,"Ingrédients : oeuf, farine, chocolat noir, beurre, sucre. Faites fondre dans une casserole le chocolat et le beurre, en remuant régulièrement pour for", 10 min,false,5
Tarte au chocolat,"Ingrédients : - 1 pâte sablée légèrement vanillée Carrefour - 1 œuf de poule élevée en plein air, gros calibre Carrefour - 200 g de chocolat dessert 6", 25 min,false,0
